Date,Price,Volume,Opening,Min,Max,ticker,settlement,instrument_type,currency,variacion_diaria
2024-12-19 00:00:00-03:00,5.63,102692.51,5.7,5.5,5.79,NVDAD,A-24HS,CEDEARS,USD,-1.4010507880910739
2024-12-20 00:00:00-03:00,5.74,122253.53,5.51,5.42,5.74,NVDAD,A-24HS,CEDEARS,USD,1.9538188277087087
2024-12-23 00:00:00-03:00,5.92,95910.13,5.9,5.71,5.99,NVDAD,A-24HS,CEDEARS,USD,3.1358885017421567
2024-12-24 00:00:00-03:00,5.93,45087.84,5.9,5.85,6.0,NVDAD,A-24HS,CEDEARS,USD,0.16891891891892552
2024-12-26 00:00:00-03:00,5.94,109473.83,5.96,5.84,5.97,NVDAD,A-24HS,CEDEARS,USD,0.1686340640809636
2024-12-27 00:00:00-03:00,5.8,185213.62,6.0,5.67,6.0,NVDAD,A-24HS,CEDEARS,USD,-2.3569023569023684
2024-12-30 00:00:00-03:00,5.89,146926.62,5.79,5.62,5.9,NVDAD,A-24HS,CEDEARS,USD,1.551724137931032
2025-01-02 00:00:00-03:00,5.82,134473.25,5.95,5.7,6.04,NVDAD,A-24HS,CEDEARS,USD,-1.1884550084889534
2025-01-03 00:00:00-03:00,6.09,308852.97,5.98,5.84,6.12,NVDAD,A-24HS,CEDEARS,USD,4.639175257731942
2025-01-06 00:00:00-03:00,6.37,264199.56,6.15,6.15,6.41,NVDAD,A-24HS,CEDEARS,USD,4.597701149425282
2025-01-07 00:00:00-03:00,6.1,325600.34,6.42,5.96,6.56,NVDAD,A-24HS,CEDEARS,USD,-4.238618524332816
2025-01-08 00:00:00-03:00,6.05,248758.02,6.29,5.88,6.29,NVDAD,A-24HS,CEDEARS,USD,-0.8196721311475419
2025-01-09 00:00:00-03:00,6.06,101496.85,5.93,5.93,6.11,NVDAD,A-24HS,CEDEARS,USD,0.16528925619834212
2025-01-10 00:00:00-03:00,5.86,353662.22,6.0,5.74,6.0,NVDAD,A-24HS,CEDEARS,USD,-3.3003300330032848
2025-01-13 00:00:00-03:00,5.7,352586.59,5.78,5.54,5.78,NVDAD,A-24HS,CEDEARS,USD,-2.7303754266211677
2025-01-14 00:00:00-03:00,5.64,536362.5,5.85,5.55,5.92,NVDAD,A-24HS,CEDEARS,USD,-1.0526315789473717
2025-01-15 00:00:00-03:00,5.8,129726.42,5.67,5.61,5.81,NVDAD,A-24HS,CEDEARS,USD,2.8368794326241176
2025-01-16 00:00:00-03:00,5.79,195795.88,5.85,5.72,5.99,NVDAD,A-24HS,CEDEARS,USD,-0.17241379310344307
2025-01-17 00:00:00-03:00,5.89,88016.19,5.77,5.71,5.9,NVDAD,A-24HS,CEDEARS,USD,1.7271157167530138
2025-01-20 00:00:00-03:00,5.98,75215.7,5.89,5.82,5.98,NVDAD,A-24HS,CEDEARS,USD,1.5280135823429575
2025-01-21 00:00:00-03:00,6.02,114388.03,5.93,5.85,6.03,NVDAD,A-24HS,CEDEARS,USD,0.6688963210702115
2025-01-22 00:00:00-03:00,6.25,365166.34,6.14,6.11,6.25,NVDAD,A-24HS,CEDEARS,USD,3.8205980066445155
2025-01-23 00:00:00-03:00,6.21,226090.81,6.26,6.09,6.28,NVDAD,A-24HS,CEDEARS,USD,-0.6399999999999961
2025-01-24 00:00:00-03:00,6.17,142664.98,6.2,6.01,6.29,NVDAD,A-24HS,CEDEARS,USD,-0.6441223832528209
2025-01-27 00:00:00-03:00,4.97,1353618.88,5.74,4.93,5.75,NVDAD,A-24HS,CEDEARS,USD,-19.448946515397083
2025-01-28 00:00:00-03:00,5.44,695243.44,5.2,4.92,5.5,NVDAD,A-24HS,CEDEARS,USD,9.456740442655942
2025-01-29 00:00:00-03:00,5.2,372450.56,5.43,5.09,5.5,NVDAD,A-24HS,CEDEARS,USD,-4.4117647058823595
2025-01-30 00:00:00-03:00,5.15,271046.53,5.25,5.0,5.31,NVDAD,A-24HS,CEDEARS,USD,-0.9615384615384581
2025-01-31 00:00:00-03:00,5.17,216466.23,5.23,5.1,5.39,NVDAD,A-24HS,CEDEARS,USD,0.3883495145631022
2025-02-03 00:00:00-03:00,4.99,286494.56,5.1,4.78,5.1,NVDAD,A-24HS,CEDEARS,USD,-3.481624758220503
2025-02-04 00:00:00-03:00,5.03,183762.05,4.99,4.89,5.12,NVDAD,A-24HS,CEDEARS,USD,0.8016032064128265
2025-02-05 00:00:00-03:00,5.23,246234.42,5.18,5.04,5.25,NVDAD,A-24HS,CEDEARS,USD,3.976143141153088
2025-02-06 00:00:00-03:00,5.38,136328.23,5.28,5.26,5.39,NVDAD,A-24HS,CEDEARS,USD,2.8680688336520044
2025-02-07 00:00:00-03:00,5.45,127686.29,5.4,5.33,5.47,NVDAD,A-24HS,CEDEARS,USD,1.3011152416356975
2025-02-10 00:00:00-03:00,5.67,191243.91,5.51,5.45,5.68,NVDAD,A-24HS,CEDEARS,USD,4.036697247706411
2025-02-11 00:00:00-03:00,5.61,148335.23,5.67,5.5,5.67,NVDAD,A-24HS,CEDEARS,USD,-1.058201058201047
2025-02-12 00:00:00-03:00,5.5,122748.15,5.5,5.43,5.65,NVDAD,A-24HS,CEDEARS,USD,-1.9607843137254943
2025-02-13 00:00:00-03:00,5.68,188426.66,5.59,5.48,5.73,NVDAD,A-24HS,CEDEARS,USD,3.2727272727272716
2025-02-14 00:00:00-03:00,5.79,93575.58,5.7,5.66,5.8,NVDAD,A-24HS,CEDEARS,USD,1.9366197183098732
2025-02-17 00:00:00-03:00,5.72,62886.65,5.83,5.7,5.83,NVDAD,A-24HS,CEDEARS,USD,-1.2089810017271163
2025-02-18 00:00:00-03:00,5.84,129954.84,5.8,5.8,5.98,NVDAD,A-24HS,CEDEARS,USD,2.0979020979021046
2025-02-19 00:00:00-03:00,5.91,140207.45,5.73,5.73,5.95,NVDAD,A-24HS,CEDEARS,USD,1.1986301369863117
2025-02-20 00:00:00-03:00,5.89,135277.75,5.96,5.75,5.99,NVDAD,A-24HS,CEDEARS,USD,-0.33840947546531774
2025-02-21 00:00:00-03:00,5.7,143617.12,5.95,5.68,5.95,NVDAD,A-24HS,CEDEARS,USD,-3.2258064516129004
2025-02-24 00:00:00-03:00,5.58,129800.62,5.7,5.5,5.8,NVDAD,A-24HS,CEDEARS,USD,-2.1052631578947434
2025-02-25 00:00:00-03:00,5.36,222829.45,5.66,5.25,5.66,NVDAD,A-24HS,CEDEARS,USD,-3.9426523297490967
