nombre_empresa,fecha_cotizacion,variacion_total_cotizacion,total_noticias_negativas,suma_score_sentimiento_negativas,total_noticias_positivas,suma_score_sentimiento_positivas
AAPLD,2024-07-05 03:00:00,-0.05,10,-5.4973,10,4.0509
AAPLD,2024-07-08 03:00:00,"0.05",11,-5.1931,9,4.8516
AAPLD,2024-07-10 03:00:00,"0.45",10,-5.0794,13,7.7976
AAPLD,2024-07-11 03:00:00,-0.25,9,-5.3395,5,2.5113
AAPLD,2024-07-12 03:00:00,"0.05",13,-8.4401,16,7.8405
AAPLD,2024-07-15 03:00:00,"-0.10",11,-6.3877,8,3.1693
AAPLD,2024-07-16 03:00:00,"-0.10",9,-4.6329,15,6.7885
AAPLD,2024-07-17 03:00:00,"-0.20",6,-3.3345,9,3.6648
AAPLD,2024-07-18 03:00:00,"-0.30",8,-4.3904,10,6.1862
AAPLD,2024-07-19 03:00:00,"0.05",11,-4.7704,12,3.6327
AAPLD,2024-07-22 03:00:00,-0.15,12,-5.9295,17,8.7439
AAPLD,2024-07-23 03:00:00,-0.05,10,-4.8851,7,2.3403
AAPLD,2024-07-24 03:00:00,"-0.40",7,-4.7563,3,"0.8985"
AAPLD,2024-07-25 03:00:00,"0.00",8,-3.7785,7,3.6674
AAPLD,2024-07-26 03:00:00,"-0.10",4,-2.3136,7,3.1739
AAPLD,2024-07-29 03:00:00,-0.05,16,-9.6735,13,6.121
AAPLD,2024-07-30 03:00:00,-0.15,10,-4.6564,9,3.6043
AAPLD,2024-07-31 03:00:00,"0.20",10,-3.6857,8,2.5514
AAPLD,2024-08-01 03:00:00,-0.35,9,-4.6557,7,4.7907
AAPLD,2024-08-02 03:00:00,"0.00",7,-4.1139,5,2.5044
AAPLD,2024-08-05 03:00:00,"-0.10",14,-7.322,5,1.7317
AAPLD,2024-08-06 03:00:00,"0.20",13,-5.801,14,6.7852
AAPLD,2024-08-07 03:00:00,"0.05",12,-4.5781,3,1.2644
AAPLD,2024-08-08 03:00:00,"0.05",15,-8.3557,14,5.2121
AAPLD,2024-08-09 03:00:00,"0.20",9,-4.5545,9,4.2964
AAPLD,2024-08-12 03:00:00,"0.00",2,-1.0616,7,2.8318
AAPLD,2024-08-13 03:00:00,"0.00",3,-0.5915,8,2.5378
AAPLD,2024-08-14 03:00:00,"0.10",7,-3.5621,8,3.0255
AAPLD,2024-08-15 03:00:00,"0.20",10,-5.3075,10,4.4005
AAPLD,2024-08-16 03:00:00,"0.15",11,-6.5628,2,"0.8991"
AAPLD,2024-08-19 03:00:00,-0.15,5,-1.907,6,3.3841
